/home/nina/PycharmProjects/HW/lec_11/task_1/hohoh
/home/nina/PycharmProjects/HW/lec_2/hw1.txt
         623212 function calls (521212 primitive calls) in 1.927 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 argparse.py:589(_format_args)
        1    0.000    0.000    0.003    0.003 completion.py:15(<module>)
        1    0.000    0.000    0.002    0.002 bz2.py:5(<module>)
        1    0.000    0.000    1.927    1.927 find_file_by_cash.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
        8    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
       18    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 argparse.py:1749(parse_known_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1784(_parse_known_args)
       34    0.000    0.000    0.000    0.000 enum.py:874(_power_of_two)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       17    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    1.882    1.882 core.py:649(_CallAndUpdateTrace)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
       35    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.009    0.009 files.py:16(<module>)
        2    0.000    0.000    0.000    0.000 argparse.py:1542(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:512(set)
        1    0.000    0.000    0.000    0.000 threading.py:738(Thread)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
       73    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       27    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.001    0.001 parser.py:25(CreateParser)
        1    0.000    0.000    0.003    0.003 inspectutils.py:15(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        2    0.000    0.000    0.000    0.000 inspect.py:643(getfile)
       12    0.000    0.000    0.000    0.000 enum.py:181(<genexpr>)
